Family,TotMarkerLength,AbxClass,RestistMechanism,BetaLactamase,P10T2,P10T3,P10T4,P11T1,P11T2,P11T3,P12T1,P12T4,P13T1,P13T4,P14T1,P14T4,P15T1,P15T2,P15T3,P16T1,P16T3,P16T4,P17T1,P17T2,P17T4,P18T1,P18T2,P18T3,P18T4,P19T1,P19T4,P1T1,P1T3,P1T4,P20T1,P20T2,P20T4,P21T1,P21T2,P21T4,P22T1,P22T4,P23T2,P23T3,P23T4,P24T1,P24T2,P24T3,P24T4,P25T1,P25T3,P25T4,P26T1,P26T3,P26T4,P27T1,P27T2,P27T3,P27T4,P28T2,P28T3,P28T4,P29T1,P29T2,P29T3,P29T4,P2T2,P2T3,P30T1,P30T2,P30T3,P30T4,P31T1,P31T2,P31T3,P31T4,P32T1,P32T3,P32T4,P33T1,P33T4,P34T1,P34T3,P35T1,P35T3,P36T1,P36T3,P36T4,P37T1,P37T3,P37T4,P38T1,P38T3,P39T1,P39T4,P3T1,P3T3,P3T4,P4T1,P4T3,P4T4,P5T1,P5T2,P5T3,P5T4,P6T1,P6T3,P6T4,P7T1,P7T3,P7T4,P8T1,P8T2,P8T3,P9T1,P9T2,P9T3,P9T4
gb|AKN19287_1|ARO_3002578|AAC(6_)-Ib7,33,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33391733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34227448,70.39168364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75735514,0,296.527957,0,0,0,0
gb|AAC23556_1|ARO_3002660|APH(6)-Id,185,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,4.570527769,0,3.525430046,253.15984,0,7.25528677,0,0,0,0,0,0,0,0,0,0,0,0,20.91687878,0,0,0,9.152229581,0,0.16104857,1.769501215,7.6922298,0,2.923963272,0,0,0.311617386,0,0.361474407,0,0,0,0,0,2.068778015,0,2.556233519,0,0,0.172515142,1.656517542,2.982043054,0,0,0,0,2.407367034,7.76878071,14.03800509,0,1.330972934,0,0,0,0,0,0,0,0,2.67021084,0.171954463,0,0,0,0,0,0.323911914,0.383289277,0,0,0,0,0,0,3.609942796,2.708412348,0,0.828041339,0,0,0,0,0,0,0,0,0,0,0,0,0,3.366725612,0,0,1.425066483,0,72.89949358,0,0,0,0
gb|CAA38525_1|ARO_3002535|AAC(3)-IIc,69,Aminoglycoside,Inactivation,No,229.8641083,12.04131511,37.8613664,0,0,0,0,0,0,0,0,0,0,9.112608257,0,0,0,0,0,0,0,0,0,0,0,0,37.3397426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999022928,0,0.677137873,6.719414298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.642563771,0,0,0,0,0,0,0,0,0,0.788813937,0,0,0,0,0,0,14.60568183,0.44660563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245251709,0,136.9082693,0,0,0,0
gb|NP_415222_1|ARO_3003841|kdpE,19,Aminoglycoside,Efflux,No,54.11063709,3.170312122,4.72283156,0,0,0,0,1.71469447,6.876080518,11.2678362,0,0,1.818069931,3.985105652,0,0,0,0,2.294419276,0,0,7.896287931,0,0,0,0,6.825816183,0.979980899,0,0,0,0,0,8.536103172,0,0,5.143254791,0,0,2.59310182,31.03383917,0,33.95952006,9.661367298,0,1.000899011,0,0,1.807948985,0,0,0,15.31277257,1.934679636,8.271619424,98.55368039,0,3.78531686,0,12.37794873,13.50065219,19.55365911,0,34.07875754,9.828976439,14.4388224,13.9738511,9.941772787,0,0.912125008,0,0,0,0,0,0,2.109697778,6.254109967,0,0,0,16.5162576,0,0,0,0,4.087699617,0,0.682965451,28.94896081,3.44524343,0,0,3.81279195,0,0,0.833606498,0,0,0,0,4.463869012,1.553194776,0.988734341,21.22421719,0,0,0,0,0,0,0,0,0
gb|YP_490321_1|ARO_3000828|baeR,32,Aminoglycoside,Efflux,No,32.89077941,5.379923601,2.69876089,0,0,53.13507868,0,2.286259293,2.865033549,14.08479524,0,0,0,6.086343177,110.5022067,0,0,0.61978044,0.892274163,0,2.365061533,3.158515172,4.095531986,0,0.644971562,0,1.516848041,1.143311049,0,0,0.564145368,1.206798074,0,4.979393517,9.732566443,1.438342856,3.461806109,1.556013795,4.963559618,2.750259506,18.68704294,5.347526147,20.53007349,1.127159518,0,1.167715513,5.672162953,0,0.575256495,0,0,1.029268078,9.744491634,0.56428156,1.754585938,51.6233564,0.581276482,2.208101501,0,12.02260092,4.626097604,11.5850833,0,17.34918565,5.897385863,7.861136642,11.9775866,3.976709115,0,6.384875058,0.427487447,0,0.886266561,0,0,0,3.356337374,1.98994408,0,0,0,11.45127194,0,0.53784908,0.500308571,1.188828326,6.557351469,6.512711354,0.455310301,13.20478914,0.765609651,4.668190264,0.55546459,2.66895437,0,0,0.555737665,0,0,0,0,4.545030267,0.494198338,0,14.71545725,0,0,0,0,0,3.558747534,0,0,0
gb|AAU10334_1|ARO_3002628|aad(6),102,Aminoglycoside,Inactivation,No,2.570867373,13.65672914,34.8762946,13.27030082,0,0,0,0,0,0,173.7630232,2.407110497,0,0,0,0,0,0,0,14.28501971,2.865363011,2.551108408,0,3.103564071,0,18.18864047,2.450292989,28.49482922,0,0,0,0,0,0,0,0,25.56410665,2.15448064,0,0,0,0,0,3.12136482,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05737131,13.93529357,4.209504833,3.355191669,0,0,0,0,0,0,0,0,0,0,0,2.45427663,0,0,0,0,3.367597674,0,8.708247227,0,0,18.20339854,8.191855215,0,0,0,3.156160118,0,0,0,0,0,88.6914066,2.995179127,12.29830624,2.693190224,0,0,0,0,8.653038393,7.527020838,6.388744974,21.94257531,13.3893896,0,11.35181165,7.606278402,6.643643548,0,0,13.15122335,0
gb|AIJ27543_1|ARO_3002629|ANT(6)-Ib,143,Aminoglycoside,Inactivation,No,31.86277076,3.414182285,2.90635788,4.70155818,0,0,0,6.189367309,0,0.350295426,21.06218463,15.64621823,0,0,0.434348499,1.097644283,4.076450038,0,12.35456533,19.04669294,110.7940364,1.096706657,3.246717067,4.138085428,0,10.10480026,2.450292989,0,0.380087086,0,0,6.126820992,0,0,0,0.178861288,31.10299643,0,3.053668782,0.111360201,0,1.93434582,2.742884312,0,0,6.969991044,70.38629012,3.189579999,0.983599189,2.955843226,19.40976446,14.25140415,0,0,0.400009229,0,2.146251625,3.312152252,30.2244243,1.134167105,2.236794446,5.809044618,0,3.670020042,5.292525775,4.817928305,6.44946972,29.97826871,0,0.982288471,0.082612605,8.885619976,2.45427663,2.698705021,2.1434678,0,0,1.587831028,0,0,0.370181975,6.469580698,13.48749218,3.64082454,0,0,5.782082878,6.312320236,8.826015064,1.160484657,0,2.322001375,0.7214711,10.24687837,6.489554776,7.993899056,9.875030821,2.87741098,0,0,0,25.95911518,45.99846068,36.58739598,8.228465743,18.74514544,42.95599045,2.837952911,1.267713067,7.381826165,49.27496585,2.016748699,0,0
gb|AGV10830_1|ARO_3002647|APH(3_)-IIIa,202,Aminoglycoside,Inactivation,No,142.0889058,26.27005248,215.514588,5.672604412,0,0.375355026,0,23.26279886,2.304218471,0.130767925,41.38902607,0.968431302,0,0,0,0,0,0,0,35.27322274,1.729193925,0.128295587,0.213886583,0.546275301,0.471565281,4.649771724,1.047417312,10.58834295,78.89049318,6.197150186,0,0.154059329,0.145161767,0,0,0,5.271051778,0.054174562,0.712851647,0,0,0,0.275880047,0.235460789,0.136123136,0.569176614,1.005370188,0,0,0,8.13433069,0.143341009,3.887430173,0,0,0.500393445,0.404757318,0.53814466,7.288401125,5.186565916,17.63260303,23.49882145,0,0,0,0.234595954,0.16217235,0.242294656,0,0,0.104184562,0.13405771,0.246851808,0,0,0.160716717,0,1.016141658,1.521121761,1.386806618,7.116873773,2.254133726,2.929444408,1.853862786,0.12193207,0,0.581133311,0.555533019,0.388378806,0,0.559768758,0.939055682,0.5414974,14.9296248,2.259419458,4.824171191,9.819465323,0,0,0,0,36.4811206,25.42492725,13.01227941,6.207159845,20.46996816,61.24344403,2.212176061,0.478150963,1.225069023,0.495608941,0,3.389556114,0
gb|ABK33456_1|ARO_3002639|APH(3__)-Ib,117,Aminoglycoside,Inactivation,No,243.778718,12.29566999,31.6707528,0,0,0,0,0,6.370486362,0,11.20125274,427.049721,0,8.368721869,0,0,0.268549918,0,0,0,0,0,0,0,0,0,31.85380886,0,0,0,14.77035146,0,0,4.345652524,31.17944363,0,7.493792048,0,0,0.711831872,0.824428365,0,0,0,0.951022447,0,0,2.439090588,0,5.822115444,0,0,0,3.693479305,5.477153402,0,0,0,0,3.316579565,10.26293922,19.98994766,0,0.722882736,0,0,0,0,0,0,0,0,3.664831995,0.270712094,0,0,0,0,0,1.01988481,0.241368653,0,0,0,0,0,0,2.413534208,2.812210682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690657525,0,0,2.170199285,0,129.8332955,0,0,0,0
gb|BAA15934_1|ARO_3000829|baeS,102,Aminoglycoside,Efflux,No,2.570867373,0,0,0,0,2.132511519,0,13.84945533,0,52.00539783,0,0,2.936882196,0,357.8864572,0,0,0,0,0,0,12.75554204,0,0,0,0,0,0,0,0,0,3.063410496,0,5.515635896,26.95172246,0,1.278205333,0,6.299902592,5.585142382,42.04584662,0,52.11480193,9.364094459,0,0,0,0,5.841065951,0,0,2.85028083,27.82801938,0,0,184.7881507,0,9.172113929,0,25.257029,10.06557501,4.356783463,0,53.21529061,0,21.76930147,58.0452275,6.423914724,0,0,0,0,0,0,0,0,3.407973334,3.367597674,0,0,0,25.6129041,0,2.730618405,0,0,6.603207073,22.09312083,2.206503766,56.60869664,0,8.618197411,0,12.3182509,0,0,0,0,0,0,0,17.30607679,5.018013892,0,35.65668489,0,0,0,0,0,9.854993171,0,0,0
gb|AAB63533_1|ARO_3002556|AAC(6_)-Ii,99,Aminoglycoside,Inactivation,No,0,0,0,0,6.325671295,0,0,0,0,7.511890797,54.76168004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979236846,0,0,0,951.8360512,0,0,0,0,0,0,0,0,0,3.545066243,12.99418052,0,0,0,4.864307752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55860582,0,0,0,344.9841376,0,0,0,0,0,0,0,0,0,18.44669392,0,0,28.46998027,8.739244361,0,0
gb|NP_863643_1|ARO_3002597|AAC(6_)-Ie-APH(2__)-Ia,216,Aminoglycoside,Inactivation,No,21.82613933,0.905803463,75.1797677,275.4657606,0,1.421674346,8.160405917,0.745005184,0,0,0,1.079049533,0,0,0,0,0,0,0,0,4.775605018,0,0,0,0,10.16999252,55.48727994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213223893,2.617918881,0.242674693,1.715826877,38.77364177,0,0,0,8.582548911,2.299881774,0,0,0,0,0,0,170.6399174,0,0,0,455.8169722,0,1.68496739,0,0,0,20.65551828,0,0,0,18.81612083,7.184138882,12.10689744,0.286519113,0,1.41221838,0,2.34221822,0,0,0,0,0,0,0,4.527457273,0,4.570888548,0,0,0,0,0.998393042,4.099435413,0,0,0,0,0,0,0.665654904,8.474865781,0,0,0,184.4669392,0,9.596374014,155.666505,26.48526097,0,0
gb|YP_008997281_1|ARO_3002626|ANT(6)-Ia,69,Aminoglycoside,Inactivation,No,0,0,0,6.101287733,0,0,13.82344623,0.772067338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425184735,0,0,0,0,0.2746018,0,0,0,0,0,0.970456466,0,0,0,0,0.241450417,3.512014663,0.312960565,0,0,0,2.08090988,0,1.077891243,0,0,0,0.492640538,0,0,0,0,0,0,0,0,0,0.822546921,0,0.363065289,1884.660872,0,0,0,0,0,5.303787636,0,1.160849533,0,0,0,2.1434678,0,0,0,0,1.618199197,0,0,0,0,0,0,0,0.526026686,0,0,0,0,0.51273655,7.14316964,0,2.056785699,0.301823042,0,0,0,1.733094764,0,0,0.35799002,0,0,0.898002387,3.645301585,0,2.590002801,0.368146297,0,0.547967639,0
gb|AFU35063_1|ARO_3002630|ANT(9)-Ia,124,Aminoglycoside,Inactivation,No,0,0,0,10.35083464,0,0,14.32151238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.632881862,0,0,0,0,0,0,0,0,0,0,0.536061667,0,0,0,0,0,4.094936684,0,0,0,0,0,0,0,0,1.332788785,0,0,0,0,0,0,0,0,1.793653144,1.703392587,0,2.736178141,0,1.213675393,2045.860892,0,0,0,0,1.670217828,11.50807447,0,2.693170916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457088855,0,0,0,6.40549048,0,0,0,0,0,0,0,0,0,0,0,1.392496519,0.598315581,0,0,0,0,0,0,0
gb|YP_490697_1|ARO_3000491|acrD,34,Aminoglycoside,Efflux,No,141.3977055,34.14182285,13.0786105,0,0,179.1309676,0,13.84945533,16.66127202,57.20593761,0,0,0,18.02493941,602.9258333,0,0,6.007102726,0,0,25.78826709,33.16440931,34.02441958,0,0,0,9.801171956,6.332184272,0,0,6.248994849,6.126820992,0,16.54690769,35.24456014,5.310804391,28.12051732,2.15448064,34.64946425,13.96285595,74.38880556,36.28090817,104.2296039,9.364094459,0,0,24.98924938,0,14.60266488,5.911686451,0,11.40112332,40.19602799,6.250503439,20.78509496,190.47394,0,9.172113929,0,42.09504833,26.84153335,74.06531888,0,88.08048101,38.10618558,15.54950105,54.8204927,12.84782945,0,26.5217887,20.71669935,0,2.45427663,0,0,0,0,10.10279302,0,0,0,66.16666891,0,0,14.54743384,2.880622482,3.301603537,47.34240177,4.413007532,66.45368736,11.13078647,11.49092988,3.07641928,9.85460074,0,0,2.693190224,0,0,0,0,17.30607679,5.018013892,0,76.7990136,0,0,0,0,0,9.854993171,0,0,0
gb|AAK63040_1|ARO_3002635|APH(2__)-IIa,204,Aminoglycoside,Inactivation,No,8.594042362,0,2.78309717,146.3193138,0.410253879,25.98998414,35.38887689,0.514408341,10.63643705,6.636271625,62.23681735,4.031540893,4.363367834,0,0,0,2.129217207,2.78901198,0,2.506451311,22.85258843,0,0,0,0,363.4750786,230.3712962,6.61487107,60.75563812,24.11575452,0,7.329632475,0,0,0,2.329585975,110.8272499,0.800235666,0.731238694,0,0,3.368941473,55.39646709,117.003307,10.05366587,1.876685647,1.16021515,2.221314642,12.34507497,21.61460359,10.2132332,27.45940193,0,0,0,0,0,0,30.08530344,6.107540494,0,0,0,0.638976704,44.82736862,10.6652406,32.1484304,82.39244197,8.472202062,22.57509396,13.38324197,8.663479477,176.1658685,74.96898114,85.13380698,0,0,160.3431015,8.359055596,6.94522785,0,26.38548147,73.1709615,104.5924371,82.76270133,56.51675274,14.17920805,84.0739094,104.237602,21.39624517,58.13848288,90.36282583,1.71751015,9.23490959,34.41781729,176.1512756,59.70706541,9.015264921,0,10.97672269,10.51571984,174.3702256,53.02778484,46.3673945,0.636726516,2.486600926,0,0,37.00477775,5.655006115,22.49636834,0.561808566,0,1.133024125
gb|AAK63041_1|ARO_3002559|AAC(6_)-Ip,115,Aminoglycoside,Inactivation,No,1.485390038,0,1.31799951,238.6442431,0.743015358,38.81170965,53.92668243,0.514408341,17.64860666,5.502896747,73.01557339,1.455462161,5.939028441,0,0,0,3.974538787,3.470770464,0,5.777496859,35.59417606,0,0,0,0,558.728089,348.2683102,2.871571937,110.0352113,36.4966434,0,10.24054366,0,0,0,5.369813329,161.6564544,1.200353499,0,0,0,5.989229284,99.33159616,149.5579658,19.60464844,2.932866871,1.856344239,3.109840499,24.94969599,27.44711567,10.2132332,1.723425618,0,0,0,0,0,0,1.61030059,9.54480747,0,0,0,0,77.97654642,15.27306548,53.8991398,128.0500335,10.868737,42.56583372,20.9468849,16.17182836,233.2653588,113.3278172,126.3217023,0,0,199.5061079,24.07408012,11.3207214,0,35.14659618,85.19190518,152.2471462,150.59288,74.89618453,19.00780322,125.8255834,126.2120154,26.05406473,94.32310902,146.892387,3.55497339,15.0986561,64.89554776,273.5689899,87.13966591,16.43713418,0,7.147633379,11.96455235,237.4778314,93.30004899,70.1342226,1.65845046,2.428772998,0,0,53.83554824,6.16909758,35.75299848,0,0,0
