taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
Lachnospiraceae_bacterium_2_1_46FAA	2.9888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06713	0	0	0	0	0	0	0	0
Blautia_producta	2.80673	0.11468	0.01479	0	0.0052	0.06537	0.01114	0	0	0	0.59511	2.8465	0.04992	0	0	0	0.29888	0.04868	0	0.04141	0.26975	0	0.51925	0.13554	0.08373	0.02684	0.39582	0	0	0	0	0.00383	0	0	0	0	0.03821	0	0.34298	0.03804	0.02992	0	0	0	0	0.01438	0.13224	0.014	0.10856	0.03427	0.0944	0	0	0.02385	0.01662	0	0	0	1.65177	0.03415	0	0.01105	0	0.07214	0.01685	0.11161	0.63317	0.34119	0.04145	0	0	0	0	0	0	0	0	0.17801	0.0169	0.33794	0.0652	0.0063	0.17237	0.17556	0	0	0	0.013	0.11439	0	0.00275	0.00234	0	0	0.69732	0.44392	0.6218	0.60041	0.14773	0	0	0.14109	0	0	0.07443	0.07572	0.10575	1.31907	0.00593	0	0.00571	0.00163	0	0.01979
Dialister_invisus	2.62734	1.00982	0	0	0	0.15931	0	0.93943	0	0	0	0	0	0.10443	0.40822	0	0.31874	0.07972	2.02814	0	0.50189	0.65238	0.05426	0.09375	0.0114	0	0	0.49841	3.99349	1.24625	0.69294	0.22298	0	0.08096	0	0	0.02893	0.10797	0	0.14626	1.66598	1.44203	2.00074	2.08876	2.958	0.00683	0	0.20633	0	0.3507	0	1.95761	0.61856	0.10925	0.01517	0.31591	0.00056	0	0	0.10709	1.06653	0.09046	0	0	0	0	0	0	0	0.32278	1.66204	2.9136	0	0	0	0	7.50229	0	0	0	0	0	0	0	0.00433	0.40385	0.8028	0	0.50033	0.38253	0.30039	2.37537	0.05219	0	0	0	0	0	0	0	0	0.96874	0.51204	0.01369	0	0	1.31272	0	0	0	0	0	0	0
Eubacterium_ramulus	2.39974	0	0	0.00015	0.00144	0	0.08998	0.52834	0	0	0	0	0.03615	0	0	0.10011	0.89463	0.37992	1.24293	0	0.75833	0	0	0.63729	2.41967	0.12212	0	0.11705	0	0	0	0.02332	0	0.75941	0.74296	0.00811	0.47871	0.09448	0	0	3.07471	0.10719	0.08915	0.11372	0.11585	0.01897	0.08219	0.08486	0	0.14053	0.01679	3.75703	0.14436	0	0	0.05525	0.34011	0.46961	0	0	0	0	0	0	0	0.54754	0.20718	0.29378	0.22986	0.05635	0.08538	0.31992	0	0.98809	1.42703	0	0.01344	0	0	0	0	0.30778	0.02913	0	0.04232	1.01348	0.30531	0	0	0	0.51576	0.65707	0.0478	0	0	0.082	0.24415	0.12134	0	0.12327	0.08177	0	0.08185	0.28984	0	0	0.51962	0	0	0	0	0	0	0
Eggerthella_lenta	1.41249	1.17098	0.70035	0.75447	0.07074	0.4878	0.77868	0.75221	0	0	0.4827	0	0.05691	0.01723	0	0	0.00634	0.0133	0.158	0.19842	0.65064	0.05538	0.3197	0.30271	0.07546	7.42058	3.41748	0	0.29401	0.16564	0.48583	0.01983	0	0.4556	0.02808	0	0.30031	0.0018	0	1.44212	0.54764	0.15419	0.05816	0.14208	0.07037	2.27203	3.28649	0.27957	3.01669	0.78428	1.01382	0.18949	0.00366	0.04217	0.57292	0.144	0.2961	0.14409	0	0.60234	1.02555	0.17889	0	0.06229	1.15203	0.24562	0.62519	0.75658	0.10306	0.14075	0.04625	0.17714	0.02826	0.20062	0.29314	0	0	0.20919	0.72123	2.00693	3.50957	0.06325	0.39385	0.30588	0.02943	0.03181	0.01673	1.03878	0.60432	0.05539	0.05852	0.20695	0.06943	0.22437	0.45609	0.28228	2.12143	1.02801	0.37285	0.1116	0.07163	0.58811	0.00096	0.02122	0.27002	0.17368	0.40381	0.56179	1.01377	0	0.02624	0	0	0
Clostridioides_difficile	1.31436	0	0	0.69882	0	0.00843	2.42626	0.00485	0	0	0.00886	0	0	0	0	0.0449	0	0	0	0	0.02328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2483	0	0	0	0	0.01564	0.10641	0.43415	0	0	0	0.16446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0.38345	0.26661	0	0	0	0	0	0	0	0	0.05147	0.15208	0.38888	0	0	0	0
Alistipes_shahii	0.9062	0	0	0	0.00302	0	0	0	0	0	0	0	0.05741	0	0	0	0	0	0.02949	0	0.83529	0	0	0	0	0	0.01838	0	0	0	0.27814	0.0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72427	0	0.0657	0	0.18998	0	0.08052	0	0	0	2.63387	0.89497	1.11444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94654	6.16787	3.56208	0	0	0	0	0	0	0	0.06628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41561	0.26295	0.22743	0	0	0	0	0	0	0	0	0	0
Enterocloster_clostridioformis	0.87516	3.43288	5.70299	0	0	4.28484	0.0251	1.42227	0	0.01953	0.01665	4.33003	0	0.04374	2.2136	0.33199	0	0	0	0	1.56059	0	0.05061	0.00196	0	0	0.32883	0	0.00339	0	0.00084	0.03261	0	0	0	0	0	0	0.91768	4.1364	0.18773	0.03765	0.01158	0	0	0	0.32685	0.02219	0.06044	0.09583	0.00903	0	0.15545	0	0.11376	0.02651	0	0	0.17294	0.00907	0.12214	0.01732	0	0	0.0161	0	0.02657	0.00731	0	0.06148	0	0	0	0.00123	0	0.19658	0.39573	0.05712	0.21079	0	0	0.02666	0.01772	0	0	0	0	0.86846	0.44273	0.26653	0	0.10368	0.06585	0.00106	0.18618	0.25565	0.53445	0	0	0	0	0.02601	0.01503	0	0	0	0.02606	0.53495	0	0.19289	0	0	0	0.08809
Enterocloster_bolteae	0.70127	1.17346	0.08367	0.59118	0.00268	1.3559	1.75081	0.63064	0	0.06584	1.2922	0	0.02267	0.07328	0	0	0.12872	0.01673	0	0.06802	0.03096	0.01921	0.01358	0.0045	0.03479	0	0.01718	0	0.02718	0	0.00874	0.01317	0	0.21978	0.00698	0	0.00532	0	0.19508	0.32521	0.51827	0.01159	0.01542	0.01633	0.01372	0.04485	0.54197	0.00302	0.64622	0.16538	0.12829	0.03816	0.07354	2.00592	6.34259	0.00584	0.07948	0.0203	0.78204	0.0045	0.43059	0.28862	0	0.27098	0.02839	0.02287	0.33883	0.75884	0.30752	0.19606	0.1736	0.13763	0.00978	0.07718	0.03431	0	0	0.05315	0.69792	0.05519	0.31394	0.06345	0.19428	0.09378	0.02091	0.00378	0.00429	0.22807	0.56483	0.06589	0.11643	0.04078	0.05731	0.09761	0.54076	0.09122	0.16647	0.36337	0.94518	0	0.00688	0.10591	0.05474	0.02589	0.05482	0.08036	0.00703	2.48418	0	0	0.87551	1.21119	0.01099	2.25198
Bacteroides_finegoldii	0.45986	2.33186	2.58065	0	0	0	0	0	0	0	0	0	0	0	0	2.40392	0.1434	0.00165	0.17997	0	0	0	0	0	0	0	0	0	0.08274	0.00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04409	0	0	0	0	0	0	0	0	0	0	0.01984	0.02675	0	0	0	0	0	0	0	0	0	0
Clostridium_scindens	0.40789	0.74264	1.40679	0	0.00264	0	0.00085	0	0	0	0.2787	0	0.01598	0.08208	0	0	0	0.01025	0	0.05063	0.23767	0.05046	0.4657	0.20138	0	2.52147	1.75916	0.00015	0	0	0.07827	0	0	0	0	0	0.06447	0	0	0	0	0	0.02309	0.02034	0	0.40167	0.04409	0	0.48493	0	0.18165	0	0	0.04335	0.13096	0.00319	0.02014	0	0.66993	0.16773	0.01182	0.00197	0	0	0	0.03605	0.34536	0.21529	0	0	0.00062	0.0081	0.06675	0.15134	0.02332	0	0.01256	0	0.10355	0	0	0.07677	0.05691	0.12197	0	0	0	1.54051	0.16299	0.04398	0	0	0	0	0.04443	0.4874	0.40936	0	0.06198	0	0	0.0065	0.01664	0.00232	0.14402	0.05794	0.53122	0	0	0	0	0.01473	0	0.2887
Anaerostipes_caccae	0.27373	0.0113	0.01774	0	0	0.91261	0	0	0	0	0.11798	0	0	0	0.26954	0	0	0	0	0	0	0	0.02079	0.00208	0.00355	0.01683	1.24632	0	0	0	0	0	0	0	0.01446	0	0	0	0.0721	0	0.01613	0	0	0	0	0.01046	0.06431	0.03935	0.00725	0	0.0538	0	0	0	0.00938	0.00439	0.00869	0	1.47116	0	0	0	0	0	0.00244	0	0.00095	0.0042	0	0	0	0	0.01196	0	0	0	0	0.00629	0	0.0947	0	0.00781	0	0.00421	0	0	0	0.03935	0.05048	0	0	0	0	0.00772	0.44991	0.04341	0.0648	0	0	0	0	0.01107	0	0.07481	0	0	0	3.74561	0	0.45843	0	0	0	0.00981
Veillonella_dispar	0.23005	0	0	0	0	0	2.52311	0.27857	0	0.00191	0	0.00673	0	0.04311	0.27821	0.1232	0	0	0.00645	0.28275	0.1843	1.40339	0	0	0	0	0	0.34873	0	0	0	0.96558	6.31665	0.03192	0.04503	0.57332	0.01014	4.53509	5.23509	0.02875	0.00163	0.10985	0.00286	0.03787	0.00679	0.00433	0.01587	0.0009	0	0	0	0	2.18796	2.76834	1.32368	0	0	0.03294	0	0.77242	0.00025	0.02011	0	0.00767	0.12431	0.00455	0	0	4.68851	0	0.11424	0	0	0.02723	0.00959	0	0.0092	1.73194	0.13274	0	0.00125	0.00384	0	0	0.54447	2.33547	0.04046	0.20187	0.00149	0.10992	0	0.13734	0.25702	1.05968	0	0.06766	0	0	0.11726	0.06246	0.04978	0	0	0	1.2515	0.21021	0	4.30287	2.8564	0.2716	1.26174	0	0.03328	0.14284
Clostridiales_bacterium	0.09616	0	0	0	0.01177	0	0	0	0	0	0	0	0.06501	0.1305	2.54925	0	0.12072	0.0278	0	0	0.30781	0.12966	0.20658	0.43725	0.22935	0	0	0.14898	0	0	0.0255	0.00973	0	0	0.01902	0	0	0	0	0	0	0.00744	0	0	0	0.04177	0.24358	0.00209	0	0.45914	0.46654	0.29587	0	0	0	0	0.18818	0.66121	0	0	0	0	0	0	0.20153	1.38801	0.95077	1.81967	0	0	0	0.03948	0.0234	0	0	0	0	0	0	0	0	1.29453	0.2684	0.41027	0	0.00035	0.45441	0	0.31922	0	0.00355	0.26571	0	0	0	0.12844	0	0	0	0	0.02686	0.30413	0	0.02932	0	0	0.00965	0.00342	0	0	0	0	0	0
Faecalicatena_contorta	0.06187	0.0165	0.00557	0	0	0.05538	0	0	0	0	0	0	0	0.01508	0	0	0	0	0.00279	0.00581	0.02173	0	0.05305	0.03744	0.03083	0.07734	0.19801	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	7.00E-05	0.00361	0.00089	0.02755	0.00664	0	0	0.0179	0.03021	0.01716	0	0	0	0	0.04617	0.11925	0.00639	0	0.0287	0.00657	0	0	0	0	0	0.01248	0	0	0	0.00564	0	0.01027	0.02559	0	0	0	0	0	0.00829	0.00814	0	0.00967	0	0	0	0.03711	0.0317	0	0	0	0	0	0	0	0.03717	0	0	0	0	0.00726	0.00112	0.00412	0.01315	0.01057	0.04353	0	0	0	0	0	0	0
Enterococcus_faecalis	0.0397	0	0	0	96.10037	0	0.0692	0	0	0	0.01258	0	0.00539	0	0.00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01092	0.13517	0	0	0	0	0	0	0	0	0	0	0.10904	0	0.12081	0	0.00871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0.91294	0.04172	0.36391	0	0	0	0
Faecalicatena_orotica	0.03647	0.00774	0.0004	0	0	0	0	0	0	0	0	0.09289	0	0	0	0	0	0	0	0.00361	0.16233	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296	0	0	0	0	0	0	0.00431	0	0	0	0	0	0	0	0	0.0072	0.0103	0	0	0	0	0	0	0	0
Clostridia_unclassified_SGB4121	0.03399	0.01325	0.02508	0	0	0.03173	0.02915	0.10811	0	0	0.00179	0	0	0.01418	0	0	0	0	0.00487	0	0.01875	0.01809	0.03324	0.0452	0.03092	0	0.00178	0.00151	0	0	0.00186	0	0	0	0.00125	0	0	0	0.01469	0	0	0.00663	0.00738	0	0.00774	0.01262	0	0	0	0	0.00709	0.00456	0	0	0	0	0.00468	0.02289	0.01132	0	0.02204	0	0	0.00382	0.00872	0.0355	0.00157	0.23974	0.01723	0	0	0.02589	0	0	0	0.00289	0	0.06107	0	0.02487	0.00283	0.0214	0.04004	0.0327	0	0.00181	0.13484	0.00604	0.03514	0	0.00939	0.01524	0.0006	0	0.02165	0.02504	0.03039	0	0	0	0.00451	0.00882	0.00138	0.01829	0	0	0.00303	0	0	0.00067	0	0	0	0
Erysipelatoclostridium_ramosum	0.00949	0.00344	0.03026	0	0	0.79322	0	0.00173	0.00341	0.05635	0	0.01779	0	0.00706	0.02721	0	0	0	0.00038	0	0.00606	0	0.01228	0.00872	0.00034	0.10039	0.03155	0	0	0	0	0	0	0	0	0	0.00378	0	0.11344	0.0082	0.00233	0	0	0	0	0.0347	0.11153	0.02523	0.00187	0	0.06713	0.09803	0	0.05956	0.04706	0	0	0.02168	0.40211	0.05611	0	0.01477	0	0.0364	0.17729	0	0	0	0	0	0	0	0.0026	0	0	0	0.00902	0.35638	0	0.77256	0.08482	0	0	0.00187	0	0	0	0.00839	0.01425	0	0	0	0	0.02104	0.1618	0.24003	0.01025	0	0	0	0	0.00242	0	0	0.00022	0	0	1.24014	0.00321	1.47526	0.47838	0.10867	0.00052	0.04252
Fusobacterium_pseudoperiodonticum	0.00851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter_pamelaeae	0.00438	0.07567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05821	0	0	0.03095	0.02535	0	0	0	0	0	0	0	0	0	0	0	0.01486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05267	0	0.06653	0.17446	0	0	0	0	0	0	0	0.00274	0	0	0.01431	0.00893	0	0	0	0	0.02496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01466	0	0	0	0	0	0	0
